,Name,,,,,,,,
568,Galgotias University,,,,,,,,
569,Shiv Nadar University,,,,,,,,
570,Babu Banarasi Das University,,,,,,,,
571,Shri Venkateshwara University,,,,,,,,
572,Rajiv Gandhi University of Knowledge Technology,,,,,,,,
573,Karnataka Sanskrit University,,,,,,,,
574,Indian Institute of Technology ,,,,,,,,
575,Indian Institute of Technology,,,,,,,,
576,Indian Institute of Technology,,,,,,,,
577,"Indian Institute of  Information Technology,Design & Manufacturing(IIITDM)",,,,,,,,
578,National Institute of Technology,,,,,,,,
579,National Institute of Technology,,,,,,,,
580,National Institute of Technology,,,,,,,,
581,National Institute of Technology,,,,,,,,
582,National Institute of Technology,,,,,,,,
583,National Institute of Technology,,,,,,,,
584,National Institute of Technology,,,,,,,,
585,National Institute of Technology,,,,,,,,
586,National Institute of Technology,,,,,,,,
587,National Institute of Technology,,,,,,,,
588,KSGH Music and Performing Arts University,,,,,,,,
589,Assam Down Town University,,,,,,,,
590,UKA Tarsadia University,,,,,,,,
591,NIILM University,,,,,,,,
592,Rabindranath Tagore University (formerly known as AISECT University),,,,,,,,
593,People's University,,,,,,,,
594,Oriental University,,,,,,,,
595,RKDF University,,,,,,,,
596,William Carey University,,,,,,,,
597,ICFAI University,,,,,,,,
598,ICFAI University,,,,,,,,
599,ICFAI University,,,,,,,,
600,Pratap University,,,,,,,,
601,Manipal University,,,,,,,,
602,Sunrise University,,,,,,,,
603,JK Lakshmipat University,,,,,,,,
604,Mahatma Gandhi University of Medical Sciences & Technology,,,,,,,,
605,Graphic Era Hill University,,,,,,,,
606,RK University,,,,,,,,
607,The Assam Kaziranga University,,,,,,,,
608,Kalinga University,,,,,,,,
609,Rai University,,,,,,,,
610,AURO University of Hospitality and Management,,,,,,,,
611,M.V.N. University,,,,,,,,
612,Baba MastNath University,,,,,,,,
613,Ansal University ,,,,,,,,
614,Career Point University,,,,,,,,
615,I.E.C. (India Education Centre) University,,,,,,,,
616,Jharkhand Rai University,,,,,,,,
617,Sai Nath University,,,,,,,,
618,A.K.S. University ,,,,,,,,
619,Swami Vivekanand University,,,,,,,,
620,Guru Kashi University,,,,,,,,
621,Sri Sri University,,,,,,,,
622,Maharaj Vinayak Global University,,,,,,,,
623,University of Engineering & Management,,,,,,,,
624,Career Point University,,,,,,,,
625,Vivekananda Global University,,,,,,,,
626,Poornima University,,,,,,,,
627,Sangam University,,,,,,,,
628,Monad University ,,,,,,,,
629,NIIT University,,,,,,,,
630,Dr. Y.S.R. Horticultural Univerity,,,,,,,,
631,National Law University and Judicial Academy,,,,,,,,
632,Bodoland University,,,,,,,,
633,Assam Rajiv Gandhi University of Co-operative Management,,,,,,,,
634,Rajmata Vijayaraje Scindia Krishi Vishwa Vidyalaya,,,,,,,,
635,Gondwana University,,,,,,,,
636,Guru Ravidas Ayurved University,,,,,,,,
637,Swarnim Gujarat Sports University,,,,,,,,
638,Sri Venkateswara Institute of Medical Sciences,,,,,,,,
639,A P Goyal Shimla University,,,,,,,,
640,Geetanjali University,,,,,,,,
641,J.E.C.R.C  University,,,,,,,,
642,Indira Gandhi Technological and Medical Science University,,,,,,,,
643,Atal Bihari Bajpayee Vishwavidyalaya,,,,,,,,
644,ITM University,,,,,,,,
645,Atal Bihari Vajpayee Hindi Vishwavidyalaya,,,,,,,,
646,Arunachal University of Studies,,,,,,,,
647,Chandigarh University,,,,,,,,
648,Shri Ramswaroop Memorial University,,,,,,,,
649,Adesh University,,,,,,,,
650,Assam Science & Technology University,,,,,,,,
651,Venkateshwara Open University,,,,,,,,
652,Techno India University,,,,,,,,
653,Children's University,,,,,,,,
654,Indus University,,,,,,,,
655,Maharaja Agrasen University,,,,,,,,
656,The Glocal University,,,,,,,,
657,Raja Mansingh Tomar Music & Arts University,,,,,,,,
658,Rajasthan University of Veterinary & Animal Sciences,,,,,,,,
659,Rajasthan University of Veterinary & Animal Sciences,,,,,,,,
660,Bihar Agricultural University,,,,,,,,
661,DIT University,,,,,,,,
662,IMS Unison University,,,,,,,,
663,D.A.V University,,,,,,,,
664,Desh Bhagat University,,,,,,,,
665,Uttaranchal University,,,,,,,,
666,Techno Global University,,,,,,,,
667,K.R. Mangalam University,,,,,,,,
668,Jagran Lakecity University,,,,,,,,
669,Shree Guru Gobind Singh Tricentenary University ,,,,,,,,
670,GD Goenka University,,,,,,,,
671,Apex Professional University,,,,,,,,
672,Sardar Patel University of Police  Security & Criminal Justice,,,,,,,,
673,Jagan Nath University,,,,,,,,
674,Swami Rama Himalayan University,,,,,,,,
675,Kumar Bhaskar Varma Sanskrit & Ancient Studies University,,,,,,,,
676,Raksha Shakti University,,,,,,,,
677,Indian Institute of Teacher Education,,,,,,,,
678,Karnataka Folklore University,,,,,,,,
679,Reva University,,,,,,,,
680,Shobhit University,,,,,,,,
681,SRM University,,,,,,,,
682,Himalayan University,,,,,,,,
683,Nalanda University,,,,,,,,
684,South Asian Universit y,,,,,,,,
685,Haridev Joshi University of Journalism and Mass Communication,,,,,,,,
686,Chhattisgarh Kamdhenu Vishwavidyalaya,,,,,,,,
687,Cotton University,,,,,,,,
688,North Orissa University,,,,,,,,
689,Tamil Nadu Fisheries University,,,,,,,,
690,Sri Dev Suman Uttarakhand Vishwavidyalaya,,,,,,,,
691,Presidency  University,,,,,,,,
692,Thunchath Ezhuthachan Malayalam University,,,,,,,,
693,OPJS University,,,,,,,,
694,Tantia University,,,,,,,,
695,PES University,,,,,,,,
696,M.S. Ramaiah University of Applied Sciences,,,,,,,,
697,Xavier university,,,,,,,,
698,C. U. Shah University,,,,,,,,
699,CMR University,,,,,,,,
700,Srimanta Sankaradeva University of Health Sciences,,,,,,,,
701,Tamilnadu National Law School,,,,,,,,
702,Uttarakhand Ayurved University,,,,,,,,
703,Kazi Nazrul University,,,,,,,,
704,Indira Gandhi University,,,,,,,,
705,Sri Satya Sai University of Technology & Medical Sciences,,,,,,,,
706,Madhav University,,,,,,,,
707,Rama University,,,,,,,,
708,Maulana Azad University,,,,,,,,
709,Tamil Nadu Music and Fine Arts University,,,,,,,,
710,Hemwati Nandan Bahuguna Medical Education University,,,,,,,,
711,Shekhawati University,,,,,,,,
712,Al-Falah University,,,,,,,,
713,BML Munjal University,,,,,,,,
714,Team Lease Skills University,,,,,,,,
715,Junagarh Agricultural University,,,,,,,,
716,Dr. Bhimrao Ambedkar Law University,,,,,,,,
717,Veer Chandra Singh Garhwali Uttarakhand University of Horticulture & Forestry ,,,,,,,,
718,ITM Vocational University,,,,,,,,
719,Pacific Medical University,,,,,,,,
720,Dayananda Sagar University,,,,,,,,
721,Shri Ramasamy Memorial University  Sikkim,,,,,,,,
722,Madan Mohan Malaviya University of Technology,,,,,,,,
723,Ashoka University,,,,,,,,
724,Amity University,,,,,,,,
725,Rajiv Gandhi National Aviation University,,,,,,,,
726,Nagaland University,,,,,,,,
727,North East Frontier Technical University,,,,,,,,
728,Chaudhary Ranbir Singh University,,,,,,,,
729,Rayat Bahra University,,,,,,,,
730,Amity University,,,,,,,,
731,Nizam's Institute of Medical Sciences,,,,,,,,
732,Mahapurusha Srimanta Sankaradeva Viswavidyalaya,,,,,,,,
733,Arunodaya University,,,,,,,,
734,Rai Technology University,,,,,,,,
735,Maharishi Mahesh Yogi Vedic Vishwavidyalaya,,,,,,,,
736,IIHMR University,,,,,,,,
737,Maharishi University of Information Technology,,,,,,,,
738,Jaypee University,,,,,,,,
739,U.P. Pandit Deen Dayal Upadhyaya Pashu Chikitsa Vigyan Vishwavidhyalaya Evam Go-Anusandhan Sansthan,,,,,,,,
740,Assam Women's University,,,,,,,,
741,Adamas University,,,,,,,,
742,Adamas University,,,,,,,,
743,Sarvepalli Radhakrishnan University,,,,,,,,
744,GNA University,,,,,,,,
745,Seacom Skills University,,,,,,,,
746,State University of Performing and Visual Arts,,,,,,,,
747,University of Engineering and Management,,,,,,,,
748,JIS University,,,,,,,,
749,Abhilashi University,,,,,,,,
750,Professor Jayashankar Telangana State Agricultural University,,,,,,,,
751,Cooch Behar Panchanan Barma University,,,,,,,,
752,Sant Baba Bhag Singh University,,,,,,,,
753,O.P. Jindal University,,,,,,,,
754,Institute of Trans-Disciplinary Health Sciences and Technology,,,,,,,,
755,Spicer Adventist University,,,,,,,,
756,Lakulish Yoga University,,,,,,,,
757,Sri Konda Laxman Telangana State Horticultural University,,,,,,,,
758,Mahatma Gandhi Central University,,,,,,,,
759,Ajeenkya D.Y. Patil University,,,,,,,,
760,Flame University,,,,,,,,
761,Parul University,,,,,,,,
762,G.L.S. University,,,,,,,,
763,The Neotia University,,,,,,,,
764,Srinivas University,,,,,,,,
765,Sangai International University,,,,,,,,
766,R.N.B. Global University,,,,,,,,
767,Raj Rishi Bhartrihari Matsya University,,,,,,,,
768,LNCT University,,,,,,,,
769,Diamond Harbour Women's University,,,,,,,,
770,Motherhood University,,,,,,,,
771,GSFC University,,,,,,,,
772,Akal University,,,,,,,,
773,Amity University,,,,,,,,
774,J.S. University,,,,,,,,
775,Bankura University,,,,,,,,
776,West Bengal University of Teachers  Training  Education Planning and Administration,,,,,,,,
777,Sanchi University of Buddhist-Indic Studies,,,,,,,,
778,Indian Institute of Public Health,,,,,,,,
779,Institute of Advanced Research,,,,,,,,
780,Manav Rachna University,,,,,,,,
781,Ch. Bansi Lal University,,,,,,,,
782,Maharaja Ranjit Singh Punjab Technical University,,,,,,,,
783,Maharaja Chhatrasal Bundelkhand Vishwavidyalaya,,,,,,,,
784,Delhi Pharmaceutical Sciences & Research University,,,,,,,,
785,A.P.J. Abdul Kalam Technological University,,,,,,,,
786,KLE Technological University,,,,,,,,
787,University of Horticultural Sciences,,,,,,,,
788,Gujarat University of Transplantation Sciences,,,,,,,,
789,Institute of Infrastructure Technology Research and Management,,,,,,,,
790,Maharaja Surajmal Brij University,,,,,,,,
791,Maharishi Arvind University  Jaipur,,,,,,,,
792,P.K. University,,,,,,,,
793,RIMT University,,,,,,,,
794,Maharashtra National Law University,,,,,,,,
795,Medi-Caps University,,,,,,,,
796,MIT Art Design and Technology University,,,,,,,,
797,Mandsaur University,,,,,,,,
798,Dr. B. R. Ambedkar University of Social Sciences,,,,,,,,
799,Central Institute of Buddhist Studies(CIBS),,,,,,,,
800,Brainware University,,,,,,,,
801,Maharaja Bir Bikram University,,,,,,,,
802,PDM University,,,,,,,,
803,Dr. A.P.J Abdul Kalam University,,,,,,,,
804,Shri Vaishnav Vidyapeeth Vishwavidyalaya,,,,,,,,
805,Sandip University,,,,,,,,
806,Sankalchand Patel University,,,,,,,,
807,Anant National University,,,,,,,,
808,Bhupal Nobles University,,,,,,,,
809,Navsari Agriculture University,,,,,,,,
810,Amity University,,,,,,,,
811,Pragyan International University,,,,,,,,
812,Malwanchal University,,,,,,,,
813,AISECT University,,,,,,,,
814,Bhakta Kavi Narsinh Mehta University,,,,,,,,
815,Shri Govind Guru University,,,,,,,,
816,Govind Guru Tribal University,,,,,,,,
817,Marwadi University,,,,,,,,
818,Khallikote University,,,,,,,,
819,Siddharth University,,,,,,,,
820,The Sanskrit College and University,,,,,,,,
821,Era University,,,,,,,,
822,Gangadhar Meher University,,,,,,,,
823,Bennett University,,,,,,,,
824,Sanskriti University,,,,,,,,
825,Rama Devi Women's University,,,,,,,,
826,IIMT University,,,,,,,,
827,Allahabad State University,,,,,,,,
828,ISBM University,,,,,,,,
829,G.H Raisoni University,,,,,,,,
830,Plastindia International University,,,,,,,,
831,Jharkhand Raksha Shakti University,,,,,,,,
832,International Institute of Information Technology (IIIT),,,,,,,,
833,Usha Martin University,,,,,,,,
834,Birla Global University,,,,,,,,
835,The Assam Royal Global University,,,,,,,,
836,Jharkhand Raksha Shakti University,,,,,,,,
837,CT University,,,,,,,,
838,Symbiosis University of Applied Sciences (SUAS),,,,,,,,
839,St. Joseph University,,,,,,,,
840,Harcourt Butler Technical University,,,,,,,,
841,Bareilly International University,,,,,,,,
842,Sai Tirupati University,,,,,,,,
843,St. Xavier's University,,,,,,,,
844,Uttarakhand Aawasiya Viswavidyalaya,,,,,,,,
845,Starex University,,,,,,,,
846,Avantika University,,,,,,,,
847,Karnataka State Rural Development and Panchayat Raj University,,,,,,,,
848,Garden City University,,,,,,,,
849,"Maharashtra National Law University,",,,,,,,,
850,Mody University of Science & Technology,,,,,,,,
851,Mody University of Science & Technology,,,,,,,,
852,Cluster University of Jammu,,,,,,,,
853,Karnavati University,,,,,,,,
854,Banda University of Agriculture & Technology,,,,,,,,
855,P. P. Savani University,,,,,,,,
856,Dr. Vishwanath Karad MIT World Peace University,,,,,,,,
857,Himalayan Garhwal University,,,,,,,,
858,Himalayan Garhwal University,,,,,,,,
859,Raiganj University,,,,,,,,
860,Vishwakarma University,,,,,,,,
861,Symbiosis Skills and Open University,,,,,,,,
862,University of Technology,,,,,,,,
863,Sri Guru Ram Das University of Health Sciences,,,,,,,,
864,Uttar Pradesh University of Medical Sciences,,,,,,,,
865,JSS Science & Technology University,,,,,,,,
866,Sandip University,,,,,,,,
867,Maharashtra National Law University,,,,,,,,
868,Bhartiya Skill Development University,,,,,,,,
869,K K University,,,,,,,,
870,Manipur Technical University,,,,,,,,
871,Jananayak Chandrashekhar University,,,,,,,,
872,Shri Guru Ram Rai University,,,,,,,,
873,Sarla Birla University,,,,,,,,
874,Bengaluru North University,,,,,,,,
875,Swarnim Startup & Innovation University,,,,,,,,
876,Sanjay Ghodawat University,,,,,,,,
877,Bengaluru Central University,,,,,,,,
878,Sharnbasva University,,,,,,,,
879,Haryana Vishwakarma Skill University,,,,,,,,
880,Bhagwant Global University,,,,,,,,
881,University of Agricultural Sciences,,,,,,,,
882,Odisha State Open University,,,,,,,,
883,YBN University,,,,,,,,
884,Arka Jain University,,,,,,,,
885,Manipur University of Culture,,,,,,,,
886,The Global University,,,,,,,,
887,Indrashil University,,,,,,,,
888,Chinmaya Vishwavidyapeeth,,,,,,,,
889,Kamdhenu University,,,,,,,,
890,Ras Bihari Bose Subharti university,,,,,,,,
891,International Institute of Information Technology,,,,,,,,
892,Quantum University,,,,,,,,
893,Rajasthan ILD Skills University (RISU),,,,,,,,
894,VIT Bhopal University,,,,,,,,
895,Cluster University of Srinagar,,,,,,,,
896,Pandit S N Shukla University,,,,,,,,
897,Kaloji Narayan Rao University of Health Sciences,,,,,,,,
898,Sage University,,,,,,,,
899,Sri P V Narsimha Rao Telangana Veterinary University,,,,,,,,
900,Maharana Partap Horticultural University,,,,,,,,
901,SRM University,,,,,,,,
902,Centurion University of Technology and Management,,,,,,,,
903,World University Of Design,,,,,,,,
904,Veer Surendra Sai Institute of Medical Science and Research,,,,,,,,
905,Sister Nivedita University,,,,,,,,
906,Amity University,,,,,,,,
907,Sardar Krushinagar Dantiwada Agricultural University,,,,,,,,
908,Himachal Pradesh National Law University,,,,,,,,
909,Hemchand Yadav Vishwavidyalaya(Earlier known as Durg Vishwavidyalaya),,,,,,,,
910,Renaissance University,,,,,,,,
911,Binod Bihari Mahto Koylanchal University,,,,,,,,
912,D Y Patil International University,,,,,,,,
913,Dr C. V. Raman University,,,,,,,,
914,Dr Shyama Prasad Mukherjee University,,,,,,,,
915,Dr. Shyama Prasad University,,,,,,,,
916,Gokul Global University,,,,,,,,
917,Atmiya University,,,,,,,,
918,VIT-AP University,,,,,,,,
919,Indian Association for the Cultivation of Science (IACS),,,,,,,,
920,IILM University,,,,,,,,
921,Madhyanchal Professional University,,,,,,,,
922,Bhabha University,,,,,,,,
923,Munger University,,,,,,,,
924,Purnea University,,,,,,,,
925,Indira Gandhi Delhi Technical University for Women,,,,,,,,
926,Shri Rawatpura Sarkar University,,,,,,,,
927,Gopal Narayan Singh University,,,,,,,,
928,Shri Krishna University,,,,,,,,
929,Patliputra University,,,,,,,,
930,National Rail and Transportation Institute ,,,,,,,,
931,Dharmashastra National Law University,,,,,,,,
932,Mansarovar Global University,,,,,,,,
933,Sardar Patel University,,,,,,,,
934,Dr C V Raman University,,,,,,,,
935,Al-Karim University,,,,,,,,
936,AAFT University of Media and Arts,,,,,,,,
937,Birsa Munda Tribal University,,,,,,,,
938,Netaji Subhas University,,,,,,,,
939,Adichunchanagiri University,,,,,,,,
940,Chhatrapati Shivaji Maharaj University,,,,,,,,
941,Khaja Bandanawaz University,,,,,,,,
942,Dhanamanjuri University,,,,,,,,
943,National Sports University,,,,,,,,
944,Netaji Subhas University of Technology,,,,,,,,
945,National Sports University,,,,,,,,
946,Radha Govind University,,,,,,,,
947,Krishnaguru Adhyatmik Visvavidyalaya,,,,,,,,
948,Capital University,,,,,,,,
949,Bihar Animal Sciences University,,,,,,,,
950,Apex university ,,,,,,,,
951,Lords University,,,,,,,,
952,Shyam University,,,,,,,,
953,KREA University,,,,,,,,
954,Central Institute of Technology(CIT),,,,,,,,
955,Saveetha Amaravati University,,,,,,,,
956,Sikkim State University,,,,,,,,
957,AIPH University,,,,,,,,
958,Shri Khushal Das University,,,,,,,,
959,Gandhi Institute of Engineering & Technology University.,,,,,,,,
960,Sardar Bhagwan Singh University,,,,,,,,
961,Bikaner Technical University,,,,,,,,
962,Maharishi Balmiki Sanskrit University,,,,,,,,
963,Gurugram University,,,,,,,,
964,Dr. Abdul Haq Urdu University,,,,,,,,
965,Manipur International University,,,,,,,,
966,Ramchandra Chandravansi University,,,,,,,,
967,Mata Gujri University,,,,,,,,
968,Om Sterling Global University,,,,,,,,
969,Gujarat Maritime University,,,,,,,,
970,Bharatiya Engineering Science and Technology Innovation University,,,,,,,,
971,Jharkhand University of Technology,,,,,,,,
972,Dr. B.R. Ambedkar National Law University,,,,,,,,
973,Ram Krishna Dharmath Foundation University,,,,,,,,
974,Shri Dharmasthala Manjunatheshwara University,,,,,,,,
975,Dr. Ram Manohar Lohia Institute of Medical Sciences,,,,,,,,
