,Name,,,,,,,,
127,B.S. Abdur Rahman Institute of Science and Technology ,,,,,,,,
128,Bharath Institute of Higher Education & Research,,,,,,,,
129,Chennai Mathematical Institute  ,,,,,,,,
130,Chettinad Academy of Research and Education  (CARE),,,,,,,,
131,The Gandhiigram Rural Institute,,,,,,,,
132,Hindustan Institute of Technology  and Science (HITS),,,,,,,,
133,Kalasalingam Academy of Research and Education,,,,,,,,
134,Karunya Institute of Technology and Sciences,,,,,,,,
135,Karpagam Academy of Higher Education ,,,,,,,,
136,Dr. M.G.R. Educational and Research Institute ,,,,,,,,
137,Meenakshi Academy of Higher Education and Research  ,,,,,,,,
138,Noorul Islam Centre for Higher Education ,,,,,,,,
139,Periyar Manaimmai Institute of Science & Technology (PMIST),,,,,,,,
140,Ponnaiyan Ramajayam Institute of Science & technology (PMIST),,,,,,,,
141,Rajiv Gandhi National Institute of Youth Development,,,,,,,,
142,S.R.M Institute of Science and Technology,,,,,,,,
143,Sathyabama Institute of Science and Technology,,,,,,,,
144,Saveetha Institute of Medical and Technical Sciences                ,,,,,,,,
145,Shanmugha Arts Science Technology & Research Academy (SASTRA) ,,,,,,,,
146,Sri Chandrasekharendra Saraswathi Vishwa Mahavidyalaya ,,,,,,,,
147,Sri Ramachandra Medical College and Research Institute ,,,,,,,,
148,St. Peter’s Institute of Higher Education and Research,,,,,,,,
149,VELS Institute of Science Technology & Advanced Studies (VISTAS) ,,,,,,,,
150,Vellore Institute of Technology ,,,,,,,,
151,Vel Tech Rangarajan Dr. Sagunthala R & D Institute of Science and Technology ,,,,,,,,
152,Vinayaka Mission’s Research Foundation ,,,,,,,,
153,Sam Higginbottom Institute of Agriculture  Technology & Sciences,,,,,,,,
154,Bhatkhande Music Institute ,,,,,,,,
155,Central Institute of Higher Tibetan Studies ,,,,,,,,
156,Dayalbagh Educational Institute  ,,,,,,,,
157,Indian Veterinary Research Institute ,,,,,,,,
158,Jaypee Institute of Information Technology ,,,,,,,,
159,Nehru Gram Bharati ,,,,,,,,
160,Shobhit Institute of Engineering & Technology ,,,,,,,,
161,Santosh ,,,,,,,,
162,Forest Research Institute ,,,,,,,,
163,Gurukul Kangri vidyapeeth,,,,,,,,
164,Graphic Era   ,,,,,,,,
165,Ramakrishna Mission Vivekananda Educational  and Research Institute,,,,,,,,
166,Assam Don Bosco University,,,,,,,,
167,Dr. C.V. Raman University,,,,,,,,
168,MATS University ,,,,,,,,
169,Charotar University of Science & Technology,,,,,,,,
170,Calorx Teacher's University ,,,,,,,,
171,Dhirubhai Ambani Institute of Information and Communication Technology ,,,,,,,,
172,Ganpat University ,,,,,,,,
173,Kadi  Sarva Vishwavidyalaya,,,,,,,,
174,Nirma University,,,,,,,,
175,Pandit Deendayal petroleum University,,,,,,,,
176,The Northcap University ,,,,,,,,
177,O.P. Jindal Global University,,,,,,,,
178,Acharaya N.G.Ranga Agricultural University,,,,,,,,
179,Acharaya Nagarjuna University,,,,,,,,
180,Adikavi Nannaya University,,,,,,,,
181,Alagappa University,,,,,,,,
182,Aliah University,,,,,,,,
183,Anand Agricultural University,,,,,,,,
184,Dr. N.T.R. University of Health Sciences,,,,,,,,
185,Andhra University,,,,,,,,
186,Anna University,,,,,,,,
187,Annamalai University,,,,,,,,
188,Assam Agricultural University,,,,,,,,
189,Awadesh Pratap Singh University,,,,,,,,
190,Baba Farid University of Health Sciences,,,,,,,,
191,Baba Ghulam Shah Badshah University,,,,,,,,
192,Babasaheb Bhimrao Ambedkar Bihar University ,,,,,,,,
193,Bangalore University,,,,,,,,
194,Barkatullaah University,,,,,,,,
195,Bastar Vishwavidyalaya ,,,,,,,,
196,Berhampur University,,,,,,,,
197,Bhagat Phool Singh Mahila Vishwavidyalaya,,,,,,,,
198,Bharathiar University,,,,,,,,
199,Bharathidasan University,,,,,,,,
200,Krishnakumarsinhji Bhavnagar University,,,,,,,,
201,Bhupender Narayan Mandal University,,,,,,,,
202,Bidhan Chandra Krishi Vishwavidyalaya,,,,,,,,
